,,2ª anterior,,,
TransactionTypeGroup,Produções,,,,
,,,,,
Sum Quantity,,,,,
AreaSapWorkCenter,OrderName,OrderOperationStatus,Total,,
,ACC.1600071480,Definitiva,2.00,1600071480,
,ACC.1600071482,Definitiva,2.00,1600071482,
,ACC.1600071813,Definitiva,206.00,1600071813,
,ACC.1600072373,Definitiva,300.00,1600072373,
,ACC.1600072721,Definitiva,79.00,1600072721,
CNMAGBL3,ACC.1600048221,Encerada,996.00,1600048221,
,ACC.1600050489,Encerada,342.00,1600050489,
,ACC.1600050490,Encerada,272.00,1600050490,
,ACC.1600050492,Encerada,364.00,1600050492,
,ACC.1600053021,Encerada,116.00,1600053021,
,ACC.1600053304,Encerada,206.00,1600053304,
,ACC.1600053306,Encerada,429.00,1600053306,
,ACC.1600053461,Encerada,305.00,1600053461,
,ACC.1600053462,Encerada,557.00,1600053462,
,ACC.1600053463,Encerada,52.00,1600053463,
,ACC.1600053880,Encerada,270.00,1600053880,
,ACC.1600054194,Encerada,106.00,1600054194,
,ACC.1600055470,Encerada,883.00,1600055470,
,ACC.1600055471,Encerada,254.00,1600055471,
,ACC.1600055474,Encerada,199.00,1600055474,
,ACC.1600055475,Encerada,451.00,1600055475,
,ACC.1600055476,Encerada,240.00,1600055476,
,ACC.1600057765,Encerada,982.00,1600057765,
,ACC.1600057766,Encerada,927.00,1600057766,
,ACC.1600058424,Encerada,254.00,1600058424,
,ACC.1600058987,Encerada,151.00,1600058987,
,ACC.1600059015,Encerada,58.00,1600059015,
,ACC.1600059627,Encerada,61.00,1600059627,
,ACC.1600059629,Encerada,631.00,1600059629,
,ACC.1600059630,Encerada,156.00,1600059630,
,ACC.1600060065,Encerada,206.00,1600060065,
,ACC.1600060340,Encerada,110.00,1600060340,
,ACC.1600060348,Encerada,305.00,1600060348,
,ACC.1600061600,Encerada,680.00,1600061600,
,ACC.1600061675,Encerada,58.00,1600061675,
,ACC.1600061965,Encerada,498.00,1600061965,
,ACC.1600061967,Encerada,158.00,1600061967,
,ACC.1600061968,Encerada,351.00,1600061968,
,ACC.1600063005,Encerada,615.00,1600063005,
,ACC.1600063008,Encerada,202.00,1600063008,
,ACC.1600064237,Encerada,211.00,1600064237,
,ACC.1600064240,Encerada,218.00,1600064240,
,ACC.1600064426,Encerada,690.00,1600064426,
,ACC.1600064499,Encerada,305.00,1600064499,
,ACC.1600064595,Encerada,72.00,1600064595,
,ACC.1600065373,Encerada,32.00,1600065373,
,ACC.1600065669,Encerada,782.00,1600065669,
,ACC.1600065670,Encerada,316.00,1600065670,
,ACC.1600065671,Encerada,715.00,1600065671,
,ACC.1600065853,Encerada,498.00,1600065853,
,ACC.1600066277,Encerada,22.00,1600066277,
,ACC.1600066280,Encerada,24.00,1600066280,
,ACC.1600068013,Definitiva,410.00,1600068013,
,ACC.1600068014,Encerada,715.00,1600068014,
,ACC.1600068031,Encerada,157.00,1600068031,
,ACC.1600068663,Encerada,404.00,1600068663,
,ACC.1600069131,Encerada,288.00,1600069131,
,ACC.1600069575,Encerada,106.00,1600069575,
,ACC.1600069987,Definitiva,507.00,1600069987,
,ACC.1600070041,Encerada,147.00,1600070041,
,ACC.1600070107,Definitiva,499.00,1600070107,
,ACC.1600070108,Definitiva,551.00,1600070108,
,ACC.1600070109,Definitiva,415.00,1600070109,
,ACC.1600070110,Encerada,205.00,1600070110,
,ACC.1600071754,Definitiva,509.00,1600071754,
CNMAGLCI,ACC.1600048207,Encerada,10.00,1600048207,
,ACC.1600050467,Encerada,30.00,1600050467,
,ACC.1600050468,Encerada,6.00,1600050468,
,ACC.1600050469,Encerada,2.00,1600050469,
,ACC.1600050472,Encerada,10.00,1600050472,
,ACC.1600050473,Encerada,8.00,1600050473,
,ACC.1600050474,Encerada,12.00,1600050474,
,ACC.1600050475,Encerada,4.00,1600050475,
,ACC.1600050478,Encerada,50.00,1600050478,
,ACC.1600050739,Encerada,116.00,1600050739,
,ACC.1600050742,Encerada,102.00,1600050742,
,ACC.1600051276,Encerada,2.00,1600051276,
,ACC.1600052221,Encerada,1.00,1600052221,
,ACC.1600053031,Encerada,341.00,1600053031,
,ACC.1600053075,Encerada,30.00,1600053075,
,ACC.1600053441,Encerada,38.00,1600053441,
,ACC.1600053443,Encerada,50.00,1600053443,
,ACC.1600053445,Encerada,34.00,1600053445,
,ACC.1600053446,Encerada,4.00,1600053446,
,ACC.1600053467,Encerada,82.00,1600053467,
,ACC.1600053468,Encerada,152.00,1600053468,
,ACC.1600054195,Encerada,6.00,1600054195,
,ACC.1600054306,Encerada,2.00,1600054306,
,ACC.1600054307,Encerada,2.00,1600054307,
,ACC.1600054309,Encerada,2.00,1600054309,
,ACC.1600054313,Encerada,4.00,1600054313,
,ACC.1600055010,Encerada,1.00,1600055010,
,ACC.1600055381,Encerada,16.00,1600055381,
,ACC.1600055388,Encerada,64.00,1600055388,
,ACC.1600055390,Encerada,42.00,1600055390,
,ACC.1600055391,Encerada,22.00,1600055391,
,ACC.1600055393,Encerada,10.00,1600055393,
,ACC.1600055394,Encerada,26.00,1600055394,
,ACC.1600055395,Encerada,4.00,1600055395,
,ACC.1600055565,Encerada,2.00,1600055565,
,ACC.1600055575,Encerada,50.00,1600055575,
,ACC.1600055576,Encerada,106.00,1600055576,
,ACC.1600055577,Encerada,274.00,1600055577,
,ACC.1600055963,Encerada,20.00,1600055963,
,ACC.1600056206,Encerada,40.00,1600056206,
,ACC.1600056620,Encerada,20.00,1600056620,
,ACC.1600057744,Encerada,80.00,1600057744,
,ACC.1600057745,Encerada,54.00,1600057745,
,ACC.1600057746,Encerada,40.00,1600057746,
,ACC.1600057747,Encerada,208.00,1600057747,
,ACC.1600057748,Encerada,6.00,1600057748,
,ACC.1600057749,Encerada,4.00,1600057749,
,ACC.1600057905,Encerada,203.00,1600057905,
,ACC.1600059543,Encerada,40.00,1600059543,
,ACC.1600059544,Encerada,20.00,1600059544,
,ACC.1600059549,Encerada,152.00,1600059549,
,ACC.1600059550,Encerada,30.00,1600059550,
,ACC.1600059551,Encerada,60.00,1600059551,
,ACC.1600059552,Encerada,30.00,1600059552,
,ACC.1600059553,Encerada,14.00,1600059553,
,ACC.1600059554,Encerada,10.00,1600059554,
,ACC.1600059556,Encerada,120.00,1600059556,
,ACC.1600059557,Encerada,30.00,1600059557,
,ACC.1600059558,Encerada,50.00,1600059558,
,ACC.1600060774,Encerada,11.00,1600060774,
,ACC.1600061948,Encerada,50.00,1600061948,
,ACC.1600061949,Encerada,30.00,1600061949,
,ACC.1600061950,Encerada,40.00,1600061950,
,ACC.1600061951,Encerada,96.00,1600061951,
,ACC.1600061952,Encerada,100.00,1600061952,
,ACC.1600061953,Encerada,20.00,1600061953,
,ACC.1600061954,Encerada,3.00,1600061954,
,ACC.1600062715,Encerada,30.00,1600062715,
,ACC.1600063009,Encerada,64.00,1600063009,
,ACC.1600064137,Encerada,4.00,1600064137,
,ACC.1600064195,Encerada,60.00,1600064195,
,ACC.1600064198,Encerada,40.00,1600064198,
,ACC.1600064220,Encerada,30.00,1600064220,
,ACC.1600064223,Encerada,50.00,1600064223,
,ACC.1600064225,Encerada,16.00,1600064225,
,ACC.1600064642,Encerada,30.00,1600064642,
,ACC.1600064643,Encerada,58.00,1600064643,
,ACC.1600064644,Encerada,88.00,1600064644,
,ACC.1600064645,Encerada,42.00,1600064645,
,ACC.1600064646,Encerada,38.00,1600064646,
,ACC.1600064647,Encerada,116.00,1600064647,
,ACC.1600065150,Definitiva,1.00,1600065150,
,ACC.1600065227,Encerada,52.00,1600065227,
,ACC.1600065633,Encerada,2.00,1600065633,
,ACC.1600065635,Encerada,6.00,1600065635,
,ACC.1600065636,Encerada,4.00,1600065636,
,ACC.1600065637,Encerada,50.00,1600065637,
,ACC.1600065638,Encerada,10.00,1600065638,
,ACC.1600065639,Encerada,251.00,1600065639,
