,,2ª anterior,,,
TransactionTypeGroup,Produções,,,,
,,,,,
Sum Quantity,,,,,
AreaSapWorkCenter,OrderName,OrderOperationStatus,Total,,
,ACC.1600042744,Encerada,150.00,1600042744,
,ACC.1600042746,Encerada,40.00,1600042746,
,ACC.1600042748,Encerada,360.00,1600042748,
,ACC.1600043052,Encerada,26437.00,1600043052,
,ACC.1600043861,Encerada,1400.00,1600043861,
,ACC.1600043863,Encerada,1232.00,1600043863,
,ACC.1600043865,Encerada,3808.00,1600043865,
,ACC.1600043867,Encerada,1792.00,1600043867,
,ACC.1600043869,Encerada,1120.00,1600043869,
,ACC.1600043871,Encerada,420.00,1600043871,
,ACC.1600043873,Encerada,104.00,1600043873,
,ACC.1600043875,Encerada,80.00,1600043875,
,ACC.1600043877,Encerada,64.00,1600043877,
,ACC.1600043879,Encerada,100.00,1600043879,
,ACC.1600043881,Encerada,104.00,1600043881,
,ACC.1600043883,Encerada,40.00,1600043883,
,ACC.1600043885,Encerada,32.00,1600043885,
,ACC.1600043887,Encerada,130.00,1600043887,
,ACC.1600043889,Encerada,160.00,1600043889,
,ACC.1600043891,Encerada,1538.00,1600043891,
,ACC.1600043893,Encerada,450.00,1600043893,
,ACC.1600043895,Encerada,80.00,1600043895,
,ACC.1600043903,Encerada,3785.00,1600043903,
,ACC.1600043905,Encerada,1080.00,1600043905,
,ACC.1600043907,Encerada,680.00,1600043907,
,ACC.1600043911,Encerada,6216.00,1600043911,
,ACC.1600043913,Encerada,4200.00,1600043913,
,ACC.1600043915,Encerada,840.00,1600043915,
,ACC.1600043917,Encerada,256.00,1600043917,
,ACC.1600043919,Encerada,12.00,1600043919,
,ACC.1600043921,Encerada,360.00,1600043921,
,ACC.1600043922,Encerada,2684.00,1600043922,
,ACC.1600043925,Definitiva,6500.00,1600043925,
,ACC.1600043927,Encerada,1800.00,1600043927,
,ACC.1600043934,Encerada,6732.00,1600043934,
,ACC.1600043936,Encerada,3520.00,1600043936,
,ACC.1600044371,Encerada,840.00,1600044371,
,ACC.1600044380,Encerada,60.00,1600044380,
,ACC.1600044382,Encerada,90.00,1600044382,
,ACC.1600044384,Encerada,18.00,1600044384,
,ACC.1600044522,Encerada,1344.00,1600044522,
,ACC.1600044524,Encerada,768.00,1600044524,
,ACC.1600044604,Encerada,444.00,1600044604,
,ACC.1600045004,Encerada,9672.00,1600045004,
,ACC.1600045009,Encerada,10000.00,1600045009,
,ACC.1600045010,Encerada,10000.00,1600045010,
,ACC.1600045011,Encerada,10000.00,1600045011,
,ACC.1600045012,Encerada,7626.00,1600045012,
,ACC.1600045013,Encerada,7500.00,1600045013,
,ACC.1600045276,Encerada,300.00,1600045276,
,ACC.1600045278,Encerada,200.00,1600045278,
,ACC.1600045282,Encerada,120.00,1600045282,
,ACC.1600045284,Encerada,350.00,1600045284,
,ACC.1600045285,Encerada,259.00,1600045285,
,ACC.1600045288,Encerada,120.00,1600045288,
,ACC.1600045317,Encerada,360.00,1600045317,
,ACC.1600045381,Encerada,60.00,1600045381,
,ACC.1600045383,Encerada,160.00,1600045383,
,ACC.1600045385,Encerada,50.00,1600045385,
,ACC.1600045387,Encerada,64.00,1600045387,
,ACC.1600045413,Encerada,600.00,1600045413,
,ACC.1600045415,Definitiva,9096.00,1600045415,
,ACC.1600045443,Encerada,1400.00,1600045443,
,ACC.1600045445,Encerada,1055.00,1600045445,
,ACC.1600045461,Encerada,300.00,1600045461,
,ACC.1600045801,Encerada,16000.00,1600045801,
,ACC.1600045802,Encerada,14093.00,1600045802,
,ACC.1600046832,Encerada,312.00,1600046832,
,ACC.1600046834,Encerada,456.00,1600046834,
,ACC.1600046838,Encerada,240.00,1600046838,
,ACC.1600046858,Encerada,5750.00,1600046858,
,ACC.1600046860,Encerada,3500.00,1600046860,
,ACC.1600047027,Encerada,26213.00,1600047027,
,ACC.1600047499,Encerada,5600.00,1600047499,
,ACC.1600047547,Encerada,1800.00,1600047547,
,ACC.1600047551,Encerada,1500.00,1600047551,
,ACC.1600047553,Encerada,300.00,1600047553,
,ACC.1600047555,Encerada,120.00,1600047555,
,ACC.1600047557,Encerada,50.00,1600047557,
,ACC.1600047600,Encerada,270.00,1600047600,
,ACC.1600047611,Encerada,1260.00,1600047611,
,ACC.1600047613,Encerada,532.00,1600047613,
,ACC.1600047615,Encerada,1400.00,1600047615,
,ACC.1600047643,Encerada,1396.00,1600047643,
,ACC.1600047652,Encerada,740.00,1600047652,
,ACC.1600047654,Encerada,1000.00,1600047654,
,ACC.1600047656,Encerada,800.00,1600047656,
,ACC.1600047672,Encerada,36.00,1600047672,
,ACC.1600047711,Encerada,888.00,1600047711,
,ACC.1600047713,Encerada,360.00,1600047713,
,ACC.1600047717,Encerada,5925.00,1600047717,
,ACC.1600047735,Encerada,1050.00,1600047735,
,ACC.1600047737,Encerada,1400.00,1600047737,
,ACC.1600047807,Encerada,13378.00,1600047807,
,ACC.1600047965,Encerada,300.00,1600047965,
,ACC.1600047967,Encerada,1950.00,1600047967,
,ACC.1600047969,Encerada,896.00,1600047969,
,ACC.1600047971,Encerada,816.00,1600047971,
,ACC.1600047973,Encerada,1200.00,1600047973,
,ACC.1600047975,Encerada,1176.00,1600047975,
,ACC.1600047987,Encerada,6000.00,1600047987,
,ACC.1600047989,Encerada,4000.00,1600047989,
,ACC.1600047994,Encerada,1050.00,1600047994,
,ACC.1600047996,Encerada,1400.00,1600047996,
,ACC.1600048007,Encerada,414.00,1600048007,
,ACC.1600048068,Encerada,1500.00,1600048068,
,ACC.1600048070,Encerada,2000.00,1600048070,
,ACC.1600048504,Encerada,777.00,1600048504,
,ACC.1600048507,Encerada,1188.00,1600048507,
,ACC.1600048511,Encerada,150.00,1600048511,
,ACC.1600048542,Encerada,405.00,1600048542,
,ACC.1600048550,Encerada,1275.00,1600048550,
,ACC.1600048582,Encerada,420.00,1600048582,
,ACC.1600048586,Encerada,422.00,1600048586,
,ACC.1600048638,Encerada,2.00,1600048638,
,ACC.1600048640,Encerada,1200.00,1600048640,
,ACC.1600048763,Encerada,416.00,1600048763,
,ACC.1600048767,Encerada,416.00,1600048767,
,ACC.1600048842,Encerada,52.00,1600048842,
,ACC.1600048850,Encerada,6900.00,1600048850,
,ACC.1600048852,Encerada,7000.00,1600048852,
,ACC.1600048854,Encerada,1500.00,1600048854,
,ACC.1600048856,Encerada,1000.00,1600048856,
,ACC.1600048858,Encerada,750.00,1600048858,
,ACC.1600048862,Encerada,600.00,1600048862,
,ACC.1600048864,Encerada,500.00,1600048864,
,ACC.1600048880,Encerada,400.00,1600048880,
,ACC.1600048882,Encerada,608.00,1600048882,
,ACC.1600048905,Encerada,18750.00,1600048905,
,ACC.1600048907,Encerada,450.00,1600048907,
,ACC.1600048909,Encerada,500.00,1600048909,
,ACC.1600048911,Encerada,300.00,1600048911,
,ACC.1600048913,Encerada,300.00,1600048913,
,ACC.1600048917,Encerada,90.00,1600048917,
,ACC.1600048919,Encerada,200.00,1600048919,
,ACC.1600048921,Encerada,2072.00,1600048921,
,ACC.1600048923,Encerada,1064.00,1600048923,
,ACC.1600048950,Encerada,5460.00,1600048950,
,ACC.1600048953,Encerada,11105.00,1600048953,
,ACC.1600048956,Encerada,2550.00,1600048956,
,ACC.1600049118,Encerada,360.00,1600049118,
,ACC.1600049504,Encerada,4270.00,1600049504,
,ACC.1600049508,Encerada,2072.00,1600049508,
,ACC.1600049509,Encerada,2128.00,1600049509,
,ACC.1600049511,Encerada,390.00,1600049511,
,ACC.1600049583,Encerada,1344.00,1600049583,
,ACC.1600049585,Encerada,768.00,1600049585,
,ACC.1600049589,Encerada,1875.00,1600049589,
,ACC.1600049593,Encerada,750.00,1600049593,
,ACC.1600049595,Encerada,1500.00,1600049595,
,ACC.1600049622,Encerada,2200.00,1600049622,
,ACC.1600049624,Encerada,300.00,1600049624,
,ACC.1600049626,Encerada,378.00,1600049626,
,ACC.1600049628,Encerada,84.00,1600049628,
,ACC.1600049630,Encerada,180.00,1600049630,
,ACC.1600049632,Encerada,25.00,1600049632,
,ACC.1600049634,Encerada,105.00,1600049634,
,ACC.1600049640,Encerada,42.00,1600049640,
,ACC.1600049642,Encerada,90.00,1600049642,
,ACC.1600049644,Encerada,150.00,1600049644,
,ACC.1600049646,Encerada,60.00,1600049646,
,ACC.1600049648,Encerada,36.00,1600049648,
,ACC.1600049656,Encerada,90.00,1600049656,
,ACC.1600049665,Encerada,1512.00,1600049665,
,ACC.1600049667,Encerada,1128.00,1600049667,
,ACC.1600049669,Encerada,32.00,1600049669,
,ACC.1600049671,Encerada,200.00,1600049671,
,ACC.1600049673,Encerada,120.00,1600049673,
,ACC.1600049675,Encerada,96.00,1600049675,
,ACC.1600049690,Encerada,240.00,1600049690,
,ACC.1600049695,Encerada,120.00,1600049695,
,ACC.1600049697,Encerada,624.00,1600049697,
,ACC.1600049699,Encerada,240.00,1600049699,
,ACC.1600049701,Encerada,128.00,1600049701,
,ACC.1600049703,Encerada,200.00,1600049703,
,ACC.1600049706,Encerada,30.00,1600049706,
,ACC.1600049709,Encerada,50.00,1600049709,
,ACC.1600049711,Encerada,50.00,1600049711,
,ACC.1600049713,Encerada,30.00,1600049713,
,ACC.1600049715,Encerada,50.00,1600049715,
,ACC.1600049717,Encerada,150.00,1600049717,
,ACC.1600049719,Encerada,4200.00,1600049719,
,ACC.1600049721,Encerada,12607.00,1600049721,
,ACC.1600049722,Encerada,6048.00,1600049722,
,ACC.1600049726,Encerada,1540.00,1600049726,
,ACC.1600049728,Encerada,720.00,1600049728,
,ACC.1600049744,Encerada,150.00,1600049744,
,ACC.1600049752,Encerada,76.00,1600049752,
,ACC.1600049754,Encerada,104.00,1600049754,
,ACC.1600049756,Encerada,40.00,1600049756,
,ACC.1600049758,Encerada,32.00,1600049758,
,ACC.1600049760,Encerada,52.00,1600049760,
,ACC.1600049775,Encerada,2561.00,1600049775,
,ACC.1600049777,Encerada,1499.00,1600049777,
,ACC.1600049801,Encerada,240.00,1600049801,
,ACC.1600049803,Encerada,200.00,1600049803,
,ACC.1600049805,Encerada,100.00,1600049805,
,ACC.1600049807,Encerada,225.00,1600049807,
,ACC.1600049809,Encerada,300.00,1600049809,
,ACC.1600049943,Encerada,378.00,1600049943,
,ACC.1600049951,Encerada,610.00,1600049951,
,ACC.1600050196,Encerada,768.00,1600050196,
,ACC.1600050222,Encerada,1035.00,1600050222,
,ACC.1600050624,Encerada,410.00,1600050624,
,ACC.1600050625,Encerada,410.00,1600050625,
,ACC.1600050630,Encerada,411.00,1600050630,
,ACC.1600050631,Encerada,414.00,1600050631,
,ACC.1600050637,Encerada,720.00,1600050637,
,ACC.1600050785,Encerada,828.00,1600050785,
,ACC.1600050807,Encerada,396.00,1600050807,
,ACC.1600050809,Encerada,408.00,1600050809,
,ACC.1600050811,Encerada,370.00,1600050811,
,ACC.1600050820,Encerada,160.00,1600050820,
,ACC.1600050831,Definitiva,14976.00,1600050831,
,ACC.1600050837,Encerada,150.00,1600050837,
,ACC.1600050839,Encerada,120.00,1600050839,
,ACC.1600050841,Encerada,38.00,1600050841,
,ACC.1600050843,Encerada,90.00,1600050843,
,ACC.1600050845,Encerada,20.00,1600050845,
,ACC.1600050847,Encerada,90.00,1600050847,
,ACC.1600050881,Encerada,300.00,1600050881,
,ACC.1600050883,Encerada,215.00,1600050883,
,ACC.1600050885,Encerada,150.00,1600050885,
,ACC.1600050887,Encerada,200.00,1600050887,
,ACC.1600050889,Encerada,152.00,1600050889,
,ACC.1600050891,Encerada,180.00,1600050891,
,ACC.1600051043,Encerada,960.00,1600051043,
,ACC.1600051045,Encerada,160.00,1600051045,
,ACC.1600051059,Encerada,3837.00,1600051059,
,ACC.1600051147,Encerada,16306.00,1600051147,
,ACC.1600051368,Encerada,1500.00,1600051368,
,ACC.1600051375,Encerada,1756.00,1600051375,
,ACC.1600051573,Encerada,185.00,1600051573,
,ACC.1600051575,Encerada,72.00,1600051575,
,ACC.1600051577,Encerada,66.00,1600051577,
,ACC.1600051579,Encerada,10.00,1600051579,
,ACC.1600052015,Encerada,28.00,1600052015,
,ACC.1600052019,Encerada,44.00,1600052019,
,ACC.1600052027,Encerada,45.00,1600052027,
,ACC.1600052029,Encerada,240.00,1600052029,
,ACC.1600052033,Encerada,1120.00,1600052033,
,ACC.1600052036,Encerada,640.00,1600052036,
,ACC.1600052038,Encerada,288.00,1600052038,
,ACC.1600052206,Encerada,50.00,1600052206,
,ACC.1600052209,Encerada,768.00,1600052209,
,ACC.1600052212,Encerada,576.00,1600052212,
,ACC.1600052214,Encerada,1200.00,1600052214,
,ACC.1600052218,Encerada,72.00,1600052218,
,ACC.1600052223,Encerada,60.00,1600052223,
,ACC.1600052322,Encerada,120.00,1600052322,
,ACC.1600052329,Encerada,14976.00,1600052329,
,ACC.1600052332,Encerada,4608.00,1600052332,
,ACC.1600052333,Definitiva,6651.00,1600052333,
,ACC.1600052404,Encerada,450.00,1600052404,
,ACC.1600052406,Encerada,250.00,1600052406,
,ACC.1600052408,Encerada,304.00,1600052408,
,ACC.1600052410,Encerada,90.00,1600052410,
,ACC.1600052453,Encerada,300.00,1600052453,
,ACC.1600052455,Encerada,220.00,1600052455,
,ACC.1600052457,Encerada,256.00,1600052457,
,ACC.1600052474,Definitiva,800.00,1600052474,
,ACC.1600052476,Encerada,800.00,1600052476,
,ACC.1600052478,Encerada,240.00,1600052478,
,ACC.1600052494,Encerada,2400.00,1600052494,
,ACC.1600052508,Definitiva,544.00,1600052508,
,ACC.1600052510,Definitiva,3035.00,1600052510,
,ACC.1600052512,Definitiva,208.00,1600052512,
,ACC.1600052514,Definitiva,160.00,1600052514,
,ACC.1600052548,Encerada,1064.00,1600052548,
,ACC.1600052550,Encerada,10360.00,1600052550,
,ACC.1600052552,Definitiva,1560.00,1600052552,
,ACC.1600052554,Definitiva,780.00,1600052554,
,ACC.1600052559,Encerada,3700.00,1600052559,
,ACC.1600052561,Definitiva,1207.00,1600052561,
,ACC.1600052563,Encerada,1717.00,1600052563,
,ACC.1600052569,Encerada,200.00,1600052569,
,ACC.1600052571,Encerada,300.00,1600052571,
,ACC.1600052573,Encerada,104.00,1600052573,
,ACC.1600052575,Encerada,160.00,1600052575,
,ACC.1600052577,Encerada,38.00,1600052577,
,ACC.1600052579,Encerada,100.00,1600052579,
,ACC.1600052601,Encerada,160.00,1600052601,
,ACC.1600052686,Encerada,67.00,1600052686,
,ACC.1600052804,Encerada,520.00,1600052804,
,ACC.1600052806,Encerada,400.00,1600052806,
,ACC.1600052808,Encerada,96.00,1600052808,
,ACC.1600052810,Encerada,32.00,1600052810,
,ACC.1600052825,Encerada,130.00,1600052825,
,ACC.1600052827,Encerada,80.00,1600052827,
,ACC.1600052829,Encerada,70.00,1600052829,
,ACC.1600052831,Definitiva,384.00,1600052831,
,ACC.1600052833,Definitiva,360.00,1600052833,
,ACC.1600052863,Encerada,480.00,1600052863,
,ACC.1600053104,Encerada,120.00,1600053104,
,ACC.1600053841,Encerada,406.00,1600053841,
,ACC.1600053939,Encerada,150.00,1600053939,
,ACC.1600053989,Encerada,50.00,1600053989,
,ACC.1600053991,Encerada,30.00,1600053991,
,ACC.1600053992,Encerada,90.00,1600053992,
,ACC.1600054189,Encerada,7500.00,1600054189,
,ACC.1600054192,Encerada,10000.00,1600054192,
,ACC.1600054218,Encerada,8627.00,1600054218,
,ACC.1600054227,Encerada,130.00,1600054227,
,ACC.1600054229,Encerada,147.00,1600054229,
,ACC.1600054231,Encerada,365.00,1600054231,
,ACC.1600054233,Encerada,540.00,1600054233,
,ACC.1600054235,Encerada,640.00,1600054235,
,ACC.1600054270,Encerada,64.00,1600054270,
,ACC.1600054279,Definitiva,1008.00,1600054279,
,ACC.1600054281,Encerada,2411.00,1600054281,
,ACC.1600054283,Encerada,1000.00,1600054283,
,ACC.1600054445,Encerada,26.00,1600054445,
,ACC.1600054449,Encerada,756.00,1600054449,
,ACC.1600054581,Encerada,144.00,1600054581,
,ACC.1600054723,Encerada,1320.00,1600054723,
,ACC.1600054724,Encerada,210.00,1600054724,
,ACC.1600054725,Encerada,100.00,1600054725,
,ACC.1600054726,Encerada,598.00,1600054726,
,ACC.1600054736,Encerada,384.00,1600054736,
,ACC.1600054746,Encerada,183.00,1600054746,
,ACC.1600054748,Encerada,50.00,1600054748,
,ACC.1600054796,Encerada,10000.00,1600054796,
,ACC.1600054797,Definitiva,2118.00,1600054797,
,ACC.1600055125,Encerada,640.00,1600055125,
,ACC.1600055219,Definitiva,1690.00,1600055219,
,ACC.1600055266,Encerada,13050.00,1600055266,
,ACC.1600055269,Encerada,210.00,1600055269,
,ACC.1600055373,Encerada,750.00,1600055373,
,ACC.1600055512,Encerada,5772.00,1600055512,
,ACC.1600055549,Encerada,126.00,1600055549,
,ACC.1600055550,Encerada,72.00,1600055550,
,ACC.1600055572,Encerada,1000.00,1600055572,
,ACC.1600055796,Encerada,500.00,1600055796,
,ACC.1600056085,Encerada,126.00,1600056085,
,ACC.1600056087,Encerada,600.00,1600056087,
,ACC.1600056213,Encerada,420.00,1600056213,
,ACC.1600056214,Encerada,100.00,1600056214,
,ACC.1600056282,Encerada,80.00,1600056282,
,ACC.1600056363,Definitiva,360.00,1600056363,
,ACC.1600056365,Definitiva,180.00,1600056365,
,ACC.1600056367,Encerada,2000.00,1600056367,
,ACC.1600056448,Encerada,250.00,1600056448,
,ACC.1600056799,Encerada,80.00,1600056799,
,ACC.1600056818,Encerada,2204.00,1600056818,
,ACC.1600057035,Encerada,5079.00,1600057035,
,ACC.1600057101,Encerada,1000.00,1600057101,
,ACC.1600057109,Encerada,396.00,1600057109,
,ACC.1600057154,Encerada,315.00,1600057154,
,ACC.1600058112,Encerada,400.00,1600058112,
,ACC.1600058115,Encerada,34.00,1600058115,
,ACC.1600058276,Encerada,300.00,1600058276,
,ACC.1600058388,Encerada,14976.00,1600058388,
,ACC.1600058420,Encerada,120.00,1600058420,
,ACC.1600058781,Encerada,10000.00,1600058781,
,ACC.1600058782,Definitiva,7500.00,1600058782,
,ACC.1600058810,Encerada,650.00,1600058810,
,ACC.1600059018,Encerada,50.00,1600059018,
,ACC.1600059450,Encerada,420.00,1600059450,
,ACC.1600059496,Encerada,40.00,1600059496,
,ACC.1600059499,Encerada,40.00,1600059499,
,ACC.1600059546,Encerada,810.00,1600059546,
,ACC.1600059748,Encerada,4059.00,1600059748,
,ACC.1600059851,Encerada,194.00,1600059851,
,ACC.1600059854,Encerada,100.00,1600059854,
,ACC.1600059857,Encerada,100.00,1600059857,
,ACC.1600060060,Definitiva,10950.00,1600060060,
,ACC.1600060070,Encerada,84.00,1600060070,
,ACC.1600060072,Encerada,84.00,1600060072,
,ACC.1600060077,Encerada,276.00,1600060077,
,ACC.1600060079,Encerada,272.00,1600060079,
,ACC.1600060400,Encerada,1200.00,1600060400,
,ACC.1600060526,Encerada,438.00,1600060526,
,ACC.1600060894,Encerada,3.00,1600060894,
,ACC.1600060899,Encerada,10.00,1600060899,
,ACC.1600060959,Encerada,2400.00,1600060959,
,ACC.1600061347,Encerada,2000.00,1600061347,
,ACC.1600061396,Encerada,1331.00,1600061396,
,ACC.1600061493,Encerada,2128.00,1600061493,
,ACC.1600061495,Encerada,1344.00,1600061495,
,ACC.1600061497,Encerada,756.00,1600061497,
,ACC.1600061499,Encerada,1000.00,1600061499,
,ACC.1600061517,Encerada,840.00,1600061517,
,ACC.1600061519,Encerada,400.00,1600061519,
,ACC.1600061547,Encerada,2000.00,1600061547,
,ACC.1600061549,Encerada,3306.00,1600061549,
,ACC.1600061608,Encerada,3600.00,1600061608,
,ACC.1600061610,Encerada,2160.00,1600061610,
,ACC.1600061654,Encerada,228.00,1600061654,
,ACC.1600061688,Encerada,1770.00,1600061688,
,ACC.1600062090,Encerada,130.00,1600062090,
,ACC.1600062092,Encerada,247.00,1600062092,
,ACC.1600062101,Encerada,1820.00,1600062101,
,ACC.1600062104,Encerada,907.00,1600062104,
,ACC.1600062106,Encerada,316.00,1600062106,
,ACC.1600062716,Definitiva,159.00,1600062716,
,ACC.1600062717,Encerada,7500.00,1600062717,
,ACC.1600062718,Encerada,7500.00,1600062718,
,ACC.1600062872,Encerada,180.00,1600062872,
,ACC.1600062874,Encerada,172.00,1600062874,
,ACC.1600062876,Encerada,90.00,1600062876,
,ACC.1600062878,Encerada,210.00,1600062878,
,ACC.1600062892,Encerada,60.00,1600062892,
,ACC.1600062997,Encerada,2068.00,1600062997,
,ACC.1600062998,Encerada,8994.00,1600062998,
,ACC.1600062999,Encerada,1000.00,1600062999,
,ACC.1600063020,Encerada,1092.00,1600063020,
,ACC.1600063023,Encerada,3015.00,1600063023,
,ACC.1600063024,Encerada,1000.00,1600063024,
,ACC.1600063283,Encerada,3701.00,1600063283,
,ACC.1600063310,Encerada,1008.00,1600063310,
,ACC.1600063325,Encerada,346.00,1600063325,
,ACC.1600063331,Encerada,361.00,1600063331,
,ACC.1600063337,Encerada,10800.00,1600063337,
,ACC.1600063420,Encerada,359.00,1600063420,
,ACC.1600063423,Encerada,800.00,1600063423,
,ACC.1600063537,Definitiva,500.00,1600063537,
,ACC.1600063548,Encerada,1007.00,1600063548,
,ACC.1600063621,Definitiva,1300.00,1600063621,
,ACC.1600063623,Definitiva,520.00,1600063623,
,ACC.1600063633,Encerada,30.00,1600063633,
,ACC.1600063671,Encerada,300.00,1600063671,
,ACC.1600063673,Encerada,200.00,1600063673,
,ACC.1600063710,Definitiva,493.00,1600063710,
,ACC.1600063903,Encerada,564.00,1600063903,
,ACC.1600064135,Encerada,3000.00,1600064135,
,ACC.1600064275,Encerada,356.00,1600064275,
,ACC.1600064276,Encerada,356.00,1600064276,
,ACC.1600064322,Encerada,2003.00,1600064322,
,ACC.1600064343,Encerada,16231.00,1600064343,
,ACC.1600064585,Encerada,1876.00,1600064585,
,ACC.1600065976,Encerada,4274.00,1600065976,
,ACC.1600065977,Encerada,2002.00,1600065977,
,ACC.1600065978,Encerada,5002.00,1600065978,
,ACC.1600066067,Definitiva,12515.00,1600066067,
,ACC.1600066478,Encerada,1020.00,1600066478,
,ACC.1600066539,Encerada,20.00,1600066539,
,ACC.1600066617,Encerada,2444.00,1600066617,
,ACC.1600066620,Encerada,1540.00,1600066620,
,ACC.1600066729,Encerada,526.00,1600066729,
,ACC.1600068187,Encerada,1035.00,1600068187,
,ACC.1600068207,Encerada,510.00,1600068207,
,ACC.1600068209,Encerada,10937.00,1600068209,
,ACC.1600068226,Encerada,1440.00,1600068226,
,ACC.1600068227,Encerada,370.00,1600068227,
,ACC.1600068229,Encerada,300.00,1600068229,
,ACC.1600068655,Encerada,1500.00,1600068655,
,ACC.1600068799,Encerada,4900.00,1600068799,
,ACC.1600068800,Encerada,4900.00,1600068800,
,ACC.1600069346,Encerada,152.00,1600069346,
,ACC.1600070037,Encerada,72.00,1600070037,
,ACC.1600070144,Encerada,7274.00,1600070144,
,ACC.1600070304,Definitiva,5383.00,1600070304,
,ACC.1600070700,Definitiva,2830.00,1600070700,
,ACC.1600070715,Encerada,172.00,1600070715,
,ACC.1600070993,Encerada,16.00,1600070993,
,ACC.1600070995,Encerada,5.00,1600070995,
,ACC.1600071473,Encerada,960.00,1600071473,
,ACC.1600071474,Encerada,1921.00,1600071474,
,ACC.1600071475,Encerada,960.00,1600071475,
,ACC.1600072070,Encerada,63.00,1600072070,
,ACC.1600072071,Encerada,500.00,1600072071,
,ACC.1600072072,Definitiva,4915.00,1600072072,
,ACC.1600072283,Encerada,2400.00,1600072283,
,ACC.1600072294,Encerada,230.00,1600072294,
,ACC.1600072412,Definitiva,1661.00,1600072412,
,ACC.1600072474,Definitiva,336.00,1600072474,
CNMLAMRL,ACC.1600024757,Encerada,44.00,1600024757,
,ACC.1600024762,Encerada,8.00,1600024762,
,ACC.1600024763,Encerada,12.00,1600024763,
,ACC.1600024764,Encerada,16.00,1600024764,
,ACC.1600024765,Encerada,8.00,1600024765,
,ACC.1600031823,Encerada,128.00,1600031823,
,ACC.1600031825,Encerada,120.00,1600031825,
,ACC.1600036400,Encerada,2.00,1600036400,
,ACC.1600036829,Encerada,13650.00,1600036829,
,ACC.1600037232,Encerada,4216.00,1600037232,
,ACC.1600039803,Encerada,35.00,1600039803,
,ACC.1600039956,Encerada,32.00,1600039956,
,ACC.1600039961,Encerada,16.00,1600039961,
,ACC.1600039975,Encerada,2700.00,1600039975,
,ACC.1600039987,Encerada,12.00,1600039987,
,ACC.1600039991,Encerada,3.00,1600039991,
,ACC.1600039992,Encerada,4.00,1600039992,
,ACC.1600039995,Encerada,18.00,1600039995,
,ACC.1600040002,Encerada,35.00,1600040002,
,ACC.1600040072,Encerada,760.00,1600040072,
,ACC.1600040075,Encerada,450.00,1600040075,
,ACC.1600040078,Encerada,1540.00,1600040078,
,ACC.1600040081,Encerada,480.00,1600040081,
,ACC.1600040551,Encerada,44.00,1600040551,
,ACC.1600040575,Encerada,8.00,1600040575,
,ACC.1600040576,Encerada,12.00,1600040576,
,ACC.1600040577,Encerada,16.00,1600040577,
,ACC.1600040579,Encerada,8.00,1600040579,
,ACC.1600041226,Encerada,1150.00,1600041226,
,ACC.1600042094,Encerada,205.00,1600042094,
,ACC.1600042095,Encerada,44.00,1600042095,
,ACC.1600042096,Encerada,12.00,1600042096,
,ACC.1600042098,Encerada,12.00,1600042098,
,ACC.1600042099,Definitiva,20.00,1600042099,
,ACC.1600042181,Encerada,820.00,1600042181,
,ACC.1600042185,Encerada,48.00,1600042185,
,ACC.1600042198,Encerada,16.00,1600042198,
,ACC.1600042200,Encerada,12.00,1600042200,
,ACC.1600042231,Encerada,120.00,1600042231,
,ACC.1600042246,Encerada,3.00,1600042246,
,ACC.1600042247,Encerada,10.00,1600042247,
,ACC.1600042248,Encerada,2.00,1600042248,
,ACC.1600042249,Encerada,2.00,1600042249,
,ACC.1600042417,Encerada,36.00,1600042417,
,ACC.1600042611,Encerada,115.00,1600042611,
,ACC.1600042615,Encerada,32.00,1600042615,
,ACC.1600042617,Encerada,30.00,1600042617,
,ACC.1600042624,Encerada,7.00,1600042624,
,ACC.1600042626,Encerada,30.00,1600042626,
,ACC.1600042649,Encerada,41.00,1600042649,
,ACC.1600042712,Encerada,24.00,1600042712,
,ACC.1600042719,Encerada,8.00,1600042719,
,ACC.1600044386,Encerada,30.00,1600044386,
,ACC.1600044388,Encerada,5.00,1600044388,
,ACC.1600044399,Encerada,5.00,1600044399,
,ACC.1600044445,Encerada,26.00,1600044445,
,ACC.1600044530,Encerada,20.00,1600044530,
,ACC.1600044532,Encerada,10.00,1600044532,
,ACC.1600044534,Encerada,10.00,1600044534,
,ACC.1600044606,Encerada,12.00,1600044606,
,ACC.1600044607,Encerada,36.00,1600044607,
,ACC.1600044616,Encerada,2.00,1600044616,
,ACC.1600044617,Encerada,4.00,1600044617,
,ACC.1600045300,Encerada,30.00,1600045300,
,ACC.1600045302,Encerada,30.00,1600045302,
,ACC.1600045304,Encerada,1.00,1600045304,
,ACC.1600045309,Encerada,240.00,1600045309,
,ACC.1600045311,Encerada,240.00,1600045311,
,ACC.1600045873,Encerada,1200.00,1600045873,
,ACC.1600045877,Encerada,1040.00,1600045877,
,ACC.1600045880,Encerada,650.00,1600045880,
,ACC.1600045888,Encerada,7188.00,1600045888,
,ACC.1600045891,Encerada,6555.00,1600045891,
,ACC.1600045901,Encerada,1586.00,1600045901,
,ACC.1600045905,Encerada,1115.00,1600045905,
,ACC.1600045908,Encerada,1500.00,1600045908,
,ACC.1600045911,Encerada,1160.00,1600045911,
,ACC.1600045915,Encerada,2490.00,1600045915,
,ACC.1600045919,Encerada,1200.00,1600045919,
,ACC.1600045922,Encerada,6498.00,1600045922,
,ACC.1600045925,Encerada,6698.00,1600045925,
