Sum Quantity,,,
MaterialKey,MaterialName,Lot,Total
33000005,CT. TRIT N V - CRU BOCADOS,CORT211968,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212053,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212073,7445
33000005,CT. TRIT N V - CRU BOCADOS,CORT212080,3290
33000005,CT. TRIT N V - CRU BOCADOS,CORT212081,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212082,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212090,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212094,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212097,7000
33000005,CT. TRIT N V - CRU BOCADOS,CORT212099,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212105,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212109,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212115,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212127,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212129,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212149,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212153,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212167,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212186,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212190,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212213,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212325,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212353,10380
33000005,CT. TRIT N V - CRU BOCADOS,CORT212365,0
33000005,CT. TRIT N V - CRU BOCADOS,CORT212380,6545
33000005,CT. TRIT N V - CRU BOCADOS,MELGV 0003,0
33000005,CT. TRIT N V - CRU BOCADOS,RIBCRU 000,11230
33000008,CT. TRIT N V - CRU CALÇOS MANCHA,CORT200583,0
33000008,CT. TRIT N V - CRU CALÇOS MANCHA,CORT200590,0
33000008,CT. TRIT N V - CRU CALÇOS MANCHA,CORT210234,0
